loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
18.0776,1644.2489013671875,4.666666666666667e-06,0.05714285714285714,50,,,,,,,,,
17.8379,5582.63134765625,9.42857142857143e-06,0.11428571428571428,100,,,,,,,,,
17.3654,631.41259765625,1.419047619047619e-05,0.17142857142857143,150,,,,,,,,,
16.698,639.4173583984375,1.8952380952380953e-05,0.22857142857142856,200,,,,,,,,,
15.4126,422.11138916015625,2.3714285714285717e-05,0.2857142857142857,250,,,,,,,,,
14.3194,378.72552490234375,2.8476190476190477e-05,0.34285714285714286,300,,,,,,,,,
12.4291,170.27130126953125,3.323809523809524e-05,0.4,350,,,,,,,,,
10.0828,84.87617492675781,3.8e-05,0.45714285714285713,400,,,,,,,,,
8.0177,17.020320892333984,4.2761904761904766e-05,0.5142857142857142,450,,,,,,,,,
6.671,13.933223724365234,4.7523809523809523e-05,0.5714285714285714,500,,,,,,,,,
5.7181,11.475399017333984,5.2285714285714294e-05,0.6285714285714286,550,,,,,,,,,
5.2162,10.488080024719238,5.704761904761905e-05,0.6857142857142857,600,,,,,,,,,
4.782,4.8682732582092285,6.180952380952382e-05,0.7428571428571429,650,,,,,,,,,
4.3947,4.545627593994141,6.657142857142857e-05,0.8,700,,,,,,,,,
4.1227,4.996929168701172,7.133333333333334e-05,0.8571428571428571,750,,,,,,,,,
3.9108,3.365572214126587,7.60952380952381e-05,0.9142857142857143,800,,,,,,,,,
3.8618,4.059692859649658,8.085714285714287e-05,0.9714285714285714,850,,,,,,,,,
,,,1.0,875,3.025906562805176,7.3254,190.432,12.013,,,,,
3.8452,3.975740909576416,8.561904761904762e-05,1.0285714285714285,900,,,,,,,,,
3.4515,3.4059927463531494,9.03809523809524e-05,1.0857142857142856,950,,,,,,,,,
3.3769,3.9741876125335693,9.514285714285714e-05,1.1428571428571428,1000,,,,,,,,,
3.2453,7.502373695373535,9.990476190476191e-05,1.2,1050,,,,,,,,,
3.1678,3.7135322093963623,9.999336625621836e-05,1.2571428571428571,1100,,,,,,,,,
3.1892,4.002171993255615,9.997292257735822e-05,1.3142857142857143,1150,,,,,,,,,
3.0853,3.074662685394287,9.993867184884649e-05,1.3714285714285714,1200,,,,,,,,,
3.0162,3.164329767227173,9.98906235338381e-05,1.4285714285714286,1250,,,,,,,,,
2.9435,2.9740586280822754,9.982879090763168e-05,1.4857142857142858,1300,,,,,,,,,
2.9055,3.1479909420013428,9.975319105400175e-05,1.5428571428571427,1350,,,,,,,,,
2.8934,2.4300403594970703,9.966384486047854e-05,1.6,1400,,,,,,,,,
2.8646,3.373002767562866,9.956077701257709e-05,1.657142857142857,1450,,,,,,,,,
2.7843,3.3580260276794434,9.944401598697675e-05,1.7142857142857144,1500,,,,,,,,,
2.8329,2.391185760498047,9.931359404365341e-05,1.7714285714285714,1550,,,,,,,,,
2.7549,3.725527286529541,9.916954721696639e-05,1.8285714285714287,1600,,,,,,,,,
2.6772,2.159351348876953,9.90119153057024e-05,1.8857142857142857,1650,,,,,,,,,
2.6696,2.054518938064575,9.884074186207959e-05,1.9428571428571428,1700,,,,,,,,,
2.5693,2.298994302749634,9.865607417971447e-05,2.0,1750,,,,,,,,,
,,,2.0,1750,2.536477565765381,7.2536,192.318,12.132,,,,,
2.6127,2.392469882965088,9.845796328055505e-05,2.057142857142857,1800,,,,,,,,,
2.606,1.3663464784622192,9.824646390078409e-05,2.1142857142857143,1850,,,,,,,,,
2.554,2.4347734451293945,9.802163447569586e-05,2.1714285714285713,1900,,,,,,,,,
2.5711,1.8665118217468262,9.778353712355113e-05,2.2285714285714286,1950,,,,,,,,,
2.5388,2.3531949520111084,9.75322376284144e-05,2.2857142857142856,2000,,,,,,,,,
2.5268,1.2198569774627686,9.726780542197844e-05,2.342857142857143,2050,,,,,,,,,
2.521,1.9656670093536377,9.699031356438095e-05,2.4,2100,,,,,,,,,
2.4943,1.393980622291565,9.669983872401867e-05,2.4571428571428573,2150,,,,,,,,,
2.4648,3.7208878993988037,9.63964611563647e-05,2.5142857142857142,2200,,,,,,,,,
2.4649,2.552633047103882,9.608026468179466e-05,2.571428571428571,2250,,,,,,,,,
2.4627,1.5012483596801758,9.575133666242779e-05,2.6285714285714286,2300,,,,,,,,,
2.4419,1.3206700086593628,9.540976797798982e-05,2.685714285714286,2350,,,,,,,,,
2.4319,1.7119280099868774,9.505565300070358e-05,2.742857142857143,2400,,,,,,,,,
2.3654,1.1217296123504639,9.468908956921489e-05,2.8,2450,,,,,,,,,
2.3912,1.5175557136535645,9.431017896156074e-05,2.857142857142857,2500,,,,,,,,,
2.3415,1.0255799293518066,9.391902586718697e-05,2.914285714285714,2550,,,,,,,,,
2.4076,1.6766809225082397,9.351573835802368e-05,2.9714285714285715,2600,,,,,,,,,
,,,3.0,2625,2.4512057304382324,7.2568,192.233,12.127,,,,,
2.4045,2.0658040046691895,9.310042785862592e-05,3.0285714285714285,2650,,,,,,,,,
2.3066,1.994702935218811,9.267320911538816e-05,3.085714285714286,2700,,,,,,,,,
2.3184,2.2728843688964844,9.223420016484088e-05,3.142857142857143,2750,,,,,,,,,
2.2757,1.7900853157043457,9.178352230103826e-05,3.2,2800,,,,,,,,,
2.2607,3.0685248374938965,9.132130004204568e-05,3.257142857142857,2850,,,,,,,,,
2.2555,2.235718250274658,9.084766109553669e-05,3.314285714285714,2900,,,,,,,,,
2.2321,2.3570241928100586,9.036273632350838e-05,3.3714285714285714,2950,,,,,,,,,
2.2406,1.8205575942993164,8.986665970612561e-05,3.4285714285714284,3000,,,,,,,,,
2.2573,2.4186766147613525,8.935956830470346e-05,3.4857142857142858,3050,,,,,,,,,
2.1933,1.9749362468719482,8.884160222383853e-05,3.5428571428571427,3100,,,,,,,,,
2.2717,2.109466791152954,8.831290457269927e-05,3.6,3150,,,,,,,,,
2.2296,1.784123182296753,8.777362142548635e-05,3.657142857142857,3200,,,,,,,,,
2.2384,1.7993359565734863,8.722390178107367e-05,3.7142857142857144,3250,,,,,,,,,
2.243,1.714298963546753,8.666389752184139e-05,3.7714285714285714,3300,,,,,,,,,
2.2077,1.2917258739471436,8.609376337171227e-05,3.8285714285714287,3350,,,,,,,,,
2.1971,2.8118321895599365,8.551365685340285e-05,3.8857142857142857,3400,,,,,,,,,
2.2537,1.6957248449325562,8.492373824490149e-05,3.942857142857143,3450,,,,,,,,,
2.0928,0.6180044412612915,8.432417053518496e-05,4.0,3500,,,,,,,,,
,,,4.0,3500,2.4279844760894775,7.0458,197.989,12.49,,,,,
2.1606,3.811692476272583,8.371511937918616e-05,4.057142857142857,3550,,,,,,,,,
2.1326,1.1988908052444458,8.309675305202531e-05,4.114285714285714,3600,,,,,,,,,
2.1308,1.1570730209350586,8.24692424025169e-05,4.171428571428572,3650,,,,,,,,,
2.1217,1.1916779279708862,8.183276080596595e-05,4.228571428571429,3700,,,,,,,,,
2.135,1.60772705078125,8.118748411626603e-05,4.285714285714286,3750,,,,,,,,,
2.1524,1.6427870988845825,8.053359061731236e-05,4.3428571428571425,3800,,,,,,,,,
2.0718,1.1860556602478027,7.987126097374371e-05,4.4,3850,,,,,,,,,
2.1142,0.983732283115387,7.920067818102653e-05,4.457142857142857,3900,,,,,,,,,
2.1003,1.2226158380508423,7.852202751489484e-05,4.514285714285714,3950,,,,,,,,,
2.1039,1.0262904167175293,7.783549648016048e-05,4.571428571428571,4000,,,,,,,,,
2.1018,1.016989827156067,7.714127475890718e-05,4.628571428571428,4050,,,,,,,,,
2.1168,2.313584089279175,7.643955415808315e-05,4.685714285714286,4100,,,,,,,,,
2.0805,1.1116085052490234,7.573052855650676e-05,4.742857142857143,4150,,,,,,,,,
2.0945,0.8320587873458862,7.501439385129944e-05,4.8,4200,,,,,,,,,
2.1023,1.348392367362976,7.429134790376135e-05,4.857142857142857,4250,,,,,,,,,
2.0896,0.9594053626060486,7.356159048470402e-05,4.914285714285715,4300,,,,,,,,,
2.0701,1.626556396484375,7.282532321925557e-05,4.9714285714285715,4350,,,,,,,,,
,,,5.0,4375,2.4298224449157715,7.228,193.001,12.175,,,,,
2.1098,1.5271142721176147,7.208274953115367e-05,5.0285714285714285,4400,,,,,,,,,
2.0135,1.447031855583191,7.133407458654132e-05,5.085714285714285,4450,,,,,,,,,
2.0409,1.5129762887954712,7.057950523728151e-05,5.142857142857143,4500,,,,,,,,,
2.0023,1.5884162187576294,6.981924996380592e-05,5.2,4550,,,,,,,,,
2.0511,1.8653631210327148,6.905351881751372e-05,5.257142857142857,4600,,,,,,,,,
2.0212,1.1813578605651855,6.828252336273638e-05,5.314285714285714,4650,,,,,,,,,
2.0202,1.5640419721603394,6.75064766182844e-05,5.371428571428572,4700,,,,,,,,,
2.0254,1.709673523902893,6.672559299859228e-05,5.428571428571429,4750,,,,,,,,,
2.0205,1.2408090829849243,6.594008825447768e-05,5.485714285714286,4800,,,,,,,,,
1.9956,2.3816514015197754,6.515017941353165e-05,5.542857142857143,4850,,,,,,,,,
1.9979,1.803695559501648,6.435608472015586e-05,5.6,4900,,,,,,,,,
2.0102,1.381890892982483,6.35580235752637e-05,5.6571428571428575,4950,,,,,,,,,
2.0141,1.780741810798645,6.275621647566195e-05,5.714285714285714,5000,,,,,,,,,
2.012,1.5214489698410034,6.195088495312948e-05,5.771428571428571,5050,,,,,,,,,
1.9912,2.1301000118255615,6.114225151321021e-05,5.828571428571428,5100,,,,,,,,,
1.9989,2.0510895252227783,6.033053957373678e-05,5.885714285714286,5150,,,,,,,,,
2.0016,1.7344011068344116,5.9515973403102434e-05,5.942857142857143,5200,,,,,,,,,
1.9393,1.3342057466506958,5.869877805829769e-05,6.0,5250,,,,,,,,,
,,,6.0,5250,2.3976829051971436,7.0211,198.687,12.534,,,,,
1.9678,0.8329497575759888,5.787917932272922e-05,6.057142857142857,5300,,,,,,,,,
1.9555,0.8943994641304016,5.7057403643838005e-05,6.114285714285714,5350,,,,,,,,,
1.962,1.2593722343444824,5.6233678070534036e-05,6.171428571428572,5400,,,,,,,,,
1.9376,0.6365453600883484,5.540823019046487e-05,6.228571428571429,5450,,,,,,,,,
1.9422,0.9148606061935425,5.458128806713524e-05,6.285714285714286,5500,,,,,,,,,
1.936,2.0304601192474365,5.3753080176895286e-05,6.3428571428571425,5550,,,,,,,,,
1.9393,0.6898437142372131,5.292383534581463e-05,6.4,5600,,,,,,,,,
1.9595,1.5362612009048462,5.209378268645998e-05,6.457142857142857,5650,,,,,,,,,
1.9686,1.3612548112869263,5.126315153459338e-05,6.514285714285714,5700,,,,,,,,,
1.9307,0.9595112204551697,5.04321713858089e-05,6.571428571428571,5750,,,,,,,,,
1.9635,0.8133648633956909,4.960107183212527e-05,6.628571428571428,5800,,,,,,,,,
1.9544,1.1546088457107544,4.8770082498551585e-05,6.685714285714286,5850,,,,,,,,,
1.9274,0.9505811333656311,4.793943297964421e-05,6.742857142857143,5900,,,,,,,,,
1.9279,1.1117831468582153,4.710935277607186e-05,6.8,5950,,,,,,,,,
1.9229,1.3287948369979858,4.628007123120684e-05,6.857142857142857,6000,,,,,,,,,
1.9588,1.4439172744750977,4.5451817467759475e-05,6.914285714285715,6050,,,,,,,,,
1.9249,0.9281941652297974,4.4624820324473766e-05,6.9714285714285715,6100,,,,,,,,,
,,,7.0,6125,2.4143433570861816,7.3699,189.282,11.94,,,,,
1.9438,1.229343056678772,4.379930829290131e-05,7.0285714285714285,6150,,,,,,,,,
1.9125,1.7155587673187256,4.2975509454271346e-05,7.085714285714285,6200,,,,,,,,,
1.9149,1.480332851409912,4.21536514164739e-05,7.142857142857143,6250,,,,,,,,,
1.9419,1.7881113290786743,4.1333961251173994e-05,7.2,6300,,,,,,,,,
1.8809,0.9340471625328064,4.051666543107377e-05,7.257142857142857,6350,,,,,,,,,
1.8927,1.3810982704162598,3.9701989767340297e-05,7.314285714285714,6400,,,,,,,,,
1.9036,1.3712234497070312,3.889015934721598e-05,7.371428571428572,6450,,,,,,,,,
1.9014,1.2087185382843018,3.808139847182918e-05,7.428571428571429,6500,,,,,,,,,
1.9225,1.1049391031265259,3.727593059422175e-05,7.485714285714286,6550,,,,,,,,,
1.9056,1.2579606771469116,3.6473978257611244e-05,7.542857142857143,6600,,,,,,,,,
1.8889,1.1851640939712524,3.567576303390415e-05,7.6,6650,,,,,,,,,
1.8802,1.0271517038345337,3.488150546247778e-05,7.6571428571428575,6700,,,,,,,,,
1.9018,1.547240972518921,3.4091424989247213e-05,7.714285714285714,6750,,,,,,,,,
1.9184,1.2795532941818237,3.3305739906034506e-05,7.771428571428571,6800,,,,,,,,,
1.8797,1.320308804512024,3.252466729025667e-05,7.828571428571428,6850,,,,,,,,,
1.8762,1.2194432020187378,3.174842294494929e-05,7.885714285714286,6900,,,,,,,,,
1.8854,1.3151917457580566,3.097722133914204e-05,7.942857142857143,6950,,,,,,,,,
1.8511,0.9940614700317383,3.0211275548603075e-05,8.0,7000,,,,,,,,,
,,,8.0,7000,2.3942110538482666,7.0609,197.566,12.463,,,,,
1.8753,2.0471198558807373,2.9450797196968023e-05,8.057142857142857,7050,,,,,,,,,
1.9053,0.926206111907959,2.869599639727048e-05,8.114285714285714,7100,,,,,,,,,
1.87,1.0889651775360107,2.794708169388971e-05,8.17142857142857,7150,,,,,,,,,
1.8698,1.1387380361557007,2.7204260004931792e-05,8.228571428571428,7200,,,,,,,,,
1.8739,1.1884899139404297,2.6467736565060025e-05,8.285714285714286,7250,,,,,,,,,
1.8867,1.0574314594268799,2.5737714868790697e-05,8.342857142857143,7300,,,,,,,,,
1.8737,1.111803412437439,2.501439661426921e-05,8.4,7350,,,,,,,,,
1.8813,0.6516900062561035,2.4297981647542988e-05,8.457142857142857,7400,,,,,,,,,
1.8717,1.0104092359542847,2.3588667907345786e-05,8.514285714285714,7450,,,,,,,,,
1.851,0.661883533000946,2.2886651370409095e-05,8.571428571428571,7500,,,,,,,,,
1.8748,0.7107194662094116,2.2192125997315554e-05,8.628571428571428,7550,,,,,,,,,
1.8721,1.2440710067749023,2.150528367890964e-05,8.685714285714285,7600,,,,,,,,,
1.8616,0.7261828780174255,2.0826314183279765e-05,8.742857142857144,7650,,,,,,,,,
1.8705,0.7177782654762268,2.0155405103327368e-05,8.8,7700,,,,,,,,,
1.853,1.0995845794677734,1.9492741804936622e-05,8.857142857142858,7750,,,,,,,,,
1.8505,0.9311169385910034,1.883850737575964e-05,8.914285714285715,7800,,,,,,,,,
1.8709,1.035798192024231,1.8192882574630994e-05,8.971428571428572,7850,,,,,,,,,
,,,9.0,7875,2.397327184677124,7.0704,197.301,12.446,,,,,
1.8936,0.7181227207183838,1.7556045781625902e-05,9.028571428571428,7900,,,,,,,,,
1.8488,1.3402965068817139,1.6928172948775294e-05,9.085714285714285,7950,,,,,,,,,
1.8686,1.419679045677185,1.6309437551452067e-05,9.142857142857142,8000,,,,,,,,,
1.8432,1.2522832155227661,1.5700010540441396e-05,9.2,8050,,,,,,,,,
1.8409,0.8992704153060913,1.5100060294708646e-05,9.257142857142856,8100,,,,,,,,,
1.8504,1.5080790519714355,1.4509752574877854e-05,9.314285714285715,8150,,,,,,,,,
1.843,1.0842313766479492,1.3929250477433631e-05,9.371428571428572,8200,,,,,,,,,
1.8473,0.8994908928871155,1.3358714389659082e-05,9.428571428571429,8250,,,,,,,,,
1.8671,0.9922239184379578,1.2798301945322383e-05,9.485714285714286,8300,,,,,,,,,
1.8515,1.417779803276062,1.2248167981123993e-05,9.542857142857143,8350,,,,,,,,,
1.8623,1.0503202676773071,1.170846449391675e-05,9.6,8400,,,,,,,,,
1.8667,1.2044482231140137,1.1179340598710547e-05,9.657142857142857,8450,,,,,,,,,
1.8499,1.6023887395858765,1.0660942487473307e-05,9.714285714285714,8500,,,,,,,,,
1.8586,1.1959164142608643,1.0153413388739397e-05,9.771428571428572,8550,,,,,,,,,
1.8543,1.7433338165283203,9.656893528037098e-06,9.82857142857143,8600,,,,,,,,,
1.8508,0.9150652885437012,9.17152008914544e-06,9.885714285714286,8650,,,,,,,,,
1.8636,1.3798692226409912,8.69742717619172e-06,9.942857142857143,8700,,,,,,,,,
1.8167,1.9219852685928345,8.23474577659974e-06,10.0,8750,,,,,,,,,
,,,10.0,8750,2.410163640975952,7.2469,192.497,12.143,,,,,
1.8497,1.1050654649734497,7.783603724899257e-06,10.057142857142857,8800,,,,,,,,,
1.8418,0.7888904213905334,7.3441256674064045e-06,10.114285714285714,8850,,,,,,,,,
1.8453,0.6054533123970032,6.916433027785241e-06,10.17142857142857,8900,,,,,,,,,
1.8339,0.6872916221618652,6.500643973499348e-06,10.228571428571428,8950,,,,,,,,,
1.8434,1.0648914575576782,6.096873383163426e-06,10.285714285714286,9000,,,,,,,,,
1.856,0.5677985548973083,5.705232814803318e-06,10.342857142857143,9050,,,,,,,,,
1.8387,0.8200048804283142,5.325830475033611e-06,10.4,9100,,,,,,,,,
1.8311,1.0182249546051025,4.958771189161149e-06,10.457142857142857,9150,,,,,,,,,
1.8533,0.8493610620498657,4.6041563722227955e-06,10.514285714285714,9200,,,,,,,,,
1.8671,0.987838864326477,4.262084000965383e-06,10.571428571428571,9250,,,,,,,,,
1.8507,1.0237270593643188,3.932648586775711e-06,10.628571428571428,9300,,,,,,,,,
1.831,0.8630706071853638,3.615941149567875e-06,10.685714285714285,9350,,,,,,,,,
1.8511,0.7135039567947388,3.312049192635369e-06,10.742857142857144,9400,,,,,,,,,
1.8582,0.8309022784233093,3.0210566784747153e-06,10.8,9450,,,,,,,,,
1.8439,1.1241405010223389,2.743044005587425e-06,10.857142857142858,9500,,,,,,,,,
1.8441,0.8228026032447815,2.4780879862666196e-06,10.914285714285715,9550,,,,,,,,,
1.8365,0.6654980182647705,2.2262618253745983e-06,10.971428571428572,9600,,,,,,,,,
,,,11.0,9625,2.3973867893218994,7.1452,195.237,12.316,,,,,
,,,11.0,9625,,,,,4966.9495,33.824,2.114,4763685711642624.0,2.819676902473747
